filename,cgpa,academic_year,internship_count,legal_research,moot_court,tier_firm,publications,company_law,contract_law,hire_decision
candidate_001.pdf,8.427618019540896,5,1,1,0,1,0,1,0,1
candidate_002.pdf,7.591608644959066,5,0,1,1,0,0,1,1,1
candidate_003.pdf,8.626045922086528,5,0,1,0,0,1,1,1,1
candidate_004.pdf,6.7105552775987345,4,2,1,1,1,0,1,0,0
candidate_005.pdf,8.536959127514951,3,4,0,1,1,0,1,1,1
candidate_006.pdf,8.370102447475343,5,3,0,1,0,0,1,0,1
candidate_007.pdf,7.411589165552057,4,2,1,1,0,0,1,1,0
candidate_008.pdf,6.702985469303414,3,2,0,0,1,0,1,1,0
candidate_009.pdf,7.633389492805808,5,1,1,1,0,1,1,1,1
candidate_010.pdf,7.245971478755548,3,0,0,0,1,0,1,1,0
candidate_011.pdf,7.260215060738525,4,2,1,1,0,0,1,1,0
candidate_012.pdf,8.549467895270123,5,2,0,0,0,1,1,1,1
candidate_013.pdf,9.16996861868102,5,3,1,0,1,0,1,1,1
candidate_014.pdf,7.133578509543141,3,4,0,0,0,1,1,1,0
candidate_015.pdf,5.0,5,2,1,0,0,0,1,0,0
candidate_016.pdf,6.1207115221210096,5,3,0,1,0,1,1,0,0
candidate_017.pdf,6.752171685332884,5,1,0,0,0,1,1,0,0
candidate_018.pdf,7.765131089883855,4,1,0,0,0,0,1,1,1
candidate_019.pdf,6.577498129807631,5,0,1,1,1,0,1,1,0
candidate_020.pdf,7.328282789630101,3,2,1,1,0,0,1,1,0
candidate_021.pdf,5.058297542064911,3,2,1,0,1,2,1,1,0
candidate_022.pdf,7.235679585112222,5,1,1,0,1,1,1,1,0
candidate_023.pdf,7.718528594856403,4,3,1,1,1,0,1,0,1
candidate_024.pdf,7.385861150252521,5,0,0,1,1,1,1,1,0
candidate_025.pdf,9.336568876147187,5,0,0,1,0,1,1,1,1
candidate_026.pdf,8.556130604335962,5,3,1,1,0,1,1,0,1
candidate_027.pdf,8.556013482984797,5,3,1,1,0,0,1,0,1
candidate_028.pdf,7.91719475818986,5,3,1,1,0,1,1,1,1
candidate_029.pdf,7.905676631164659,5,1,1,1,0,1,1,1,1
candidate_030.pdf,6.075389754056355,5,1,0,0,0,0,1,1,0
candidate_031.pdf,6.1041245462006595,5,1,0,0,0,1,1,1,0
candidate_032.pdf,7.946589650911586,5,0,1,0,0,2,1,1,1
candidate_033.pdf,7.735658704539563,3,1,1,1,1,0,1,0,1
candidate_034.pdf,5.652640659002763,4,1,1,0,0,2,1,1,0
candidate_035.pdf,7.433882961354157,4,2,1,1,1,2,1,1,0
candidate_036.pdf,8.670884593835575,3,0,1,0,1,3,1,1,1
candidate_037.pdf,9.049700289404834,5,2,1,1,1,0,1,0,1
candidate_038.pdf,5.449237854348608,5,4,0,1,1,0,1,0,0
candidate_039.pdf,8.639981577313824,5,2,1,0,0,0,1,1,1
candidate_040.pdf,7.724871097621599,5,3,0,0,0,1,1,0,1
candidate_041.pdf,8.27688449681908,5,2,1,1,1,1,1,1,1
candidate_042.pdf,7.754375386961119,5,2,1,1,0,0,1,1,1
candidate_043.pdf,7.777518450889927,4,0,1,1,1,2,1,1,1
candidate_044.pdf,8.306561499380944,3,0,1,1,1,0,1,0,1
candidate_045.pdf,6.672151352871281,5,3,0,1,0,0,1,1,0
candidate_046.pdf,6.924772996971956,4,4,1,0,1,1,1,1,0
candidate_047.pdf,9.039501945072065,5,1,1,0,1,1,1,1,1
candidate_048.pdf,7.573095294313554,3,3,1,1,0,1,1,1,1
candidate_049.pdf,8.914728095551439,5,2,1,0,0,1,1,1,1
candidate_050.pdf,6.971447372539791,5,4,1,0,1,3,1,1,0
candidate_051.pdf,5.241623575387054,4,3,1,0,0,0,1,0,0
candidate_052.pdf,6.217704189679675,5,1,0,0,0,2,1,0,0
candidate_053.pdf,8.099024112537585,3,2,0,0,0,0,1,1,1
candidate_054.pdf,6.467398227534515,3,3,1,0,0,0,1,0,0
candidate_055.pdf,8.376578722359412,5,2,1,1,0,1,1,0,1
candidate_056.pdf,5.119138769863398,5,1,1,0,0,0,1,0,0
candidate_057.pdf,8.311882733441712,4,3,1,0,1,0,1,1,1
candidate_058.pdf,8.516565818483802,5,3,1,1,1,0,1,1,1
candidate_059.pdf,7.1842427071462325,5,2,1,1,0,0,1,1,0
candidate_060.pdf,8.366494375211108,4,1,0,0,0,2,1,1,1
candidate_061.pdf,8.359608267882816,5,2,1,1,0,0,1,0,1
candidate_062.pdf,7.524925789743423,3,1,0,0,1,0,1,1,1
candidate_063.pdf,7.8561652765095635,5,4,0,0,0,2,1,0,1
candidate_064.pdf,8.35847721840178,4,0,1,1,0,0,1,0,1
candidate_065.pdf,7.814399617129801,4,0,1,0,0,0,1,1,1
candidate_066.pdf,5.289985599958106,4,2,1,0,0,2,1,1,0
candidate_067.pdf,8.072866946834981,4,2,1,0,0,0,1,0,1
candidate_068.pdf,7.779749586919615,5,0,1,1,0,0,1,1,1
candidate_069.pdf,9.492494506517993,5,3,1,1,0,0,1,0,1
candidate_070.pdf,8.411735968211474,5,4,1,1,0,0,1,1,1
candidate_071.pdf,6.153317081414762,5,0,0,1,1,2,1,1,0
